110302	1103	2	1	40	1	3	"THIGALARU"	"KANNADA"	0	0	0	0	0	0	16	40			2	2
110501	1105	1	1	38	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	9		6	"DAYS PER WEEK"	2	1
110502	1105	2	2	32	1	3	"VOKKALIGA"	"KANNADA"	0	0	1	0	0	0	10	17			2	2
110601	1106	1	1	55	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	3		6	"DAYS PER WEEK"	2	1
110602	1106	2	2	38	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	3	8	"HOURS PER DAY"	1	2
111201	1112	2	1	60	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	32			2	2
111203	1112	2	3	30	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		7	"DAYS PER WEEK"	2	2
111204	1112	2	3	19	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	8				2	2
111205	1112	1	3	24	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	5	1	5	"DAYS PER WEEK"	2	2
111501	1115	1	1	50	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16		5	"DAYS PER WEEK"	2	2
111502	1115	2	2	48	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	30			2	2
111901	1119	1	1	57	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		7	"DAYS PER WEEK"	2	2
111902	1119	2	3	50	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	7	30			2	2
111903	1119	1	1	31	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		6	"DAYS PER WEEK"	2	2
111904	1119	2	3	26	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	1	14	5			2	2
112201	1122	1	1	40	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	10		6	"DAYS PER WEEK"	2	2
112202	1122	2	2	35	1	3	"VOKKALIGA"	"KANNADA"	0	0	0	0	0	0	16	14	5	"DAYS PER WEEK"	2	2
112601	1126	1	1	47	1	3	"LINGAYATH"	"KANNADA"	0	0	0	0	0	0	9		6	"DAYS PER WEEK"	2	1
